"primary_address_id","wiki_friendly_title","store_name","store_type","nace_code","ateco_code","ethnic_ownership","corporate_ownership","opening_time_am","closing_time_am","opening_time_pm","closing_time_pm","closed_for_lunch","day_closed","opened_in_year","last_known_open_year","year_data_collected","photo_year_1","photo_url_1","photo_year_2","photo_url_2","photo_year_3","photo_url_3","photo_year_4","photo_url_4","photo_year_5","photo_url_5","photo_year_6","photo_url_6","photo_year_7","photo_url_7","photo_year_8","photo_url_8","photo_year_9","photo_url_9","photo_year_10","photo_url_10","photo_year_11","photo_url_11","photo_year_12","photo_url_12","photo_year_13","photo_url_13","photo_year_14","photo_url_14","photo_year_15","photo_url_15"
"0278001649_","Store 0278001649_ - (Ninfema, 2012)","Ninfema","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278001998_","Store 0278001998_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278002062_","Store 0278002062_ - (Calzedona, 2004)","Calzedona","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278002064_","Store 0278002064_ - (Pelletterie, 2009)","Pelletterie","Accessories","46.42","46.42.1","","","","","","","","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278002336_","Store 0278002336_ - (2004)","","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278002433_","Store 0278002433_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278003921_","Store 0278003921_ - (Pelletterie, 2005)","Pelletterie","Accessories","46.42","46.42.1","","","","","","","TRUE","","2005","2012","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278005545_","Store 0278005545_ - (2009)","","Accessories","46.42","46.42.1","","","","","","","TRUE","","2009","2012","2009","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278005648A","Store 0278005648A - (Too Late, 2012)","Too Late","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0278005692_","Store 0278005692_ - (Fullspot Market, 2012)","Fullspot Market","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000853C","Store 0707000853C - (2004)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707000879C","Store 0707000879C - (2012)","","Accessories","46.42","46.42.1","","","","","","","","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003186_","Store 0707003186_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003929_","Store 0707003929_ - (Planet Earth, 2004)","Planet Earth","Accessories","46.42","46.42.1","","","","","","","","","2004","2012","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0707003930_","Store 0707003930_ - (2012)","","Accessories","46.42","46.42.1","","","","","","","FALSE","","2012","2012","2012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561000171_","Store 1561000171_ - (2010)","","Accessories","46.42","46.42.1","","","","","","","","","2010","2012","2010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
